,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
VFMFX,,,,,,,,,,,,,,0.2125465822904519,0.0314532044226374,0.319205285628007,-0.0624291109113079,0.1920706981129027,0.1760080871616309,0.1604648567821756
VSTCX,,-0.0430869025083963,-0.3524837126899397,0.2229374886209236,0.2458635315308737,-0.0097536866079738,0.160285240556256,0.3821425916418453,0.1153801993884422,-0.0279395631997608,0.235026559736228,0.0944231619010183,-0.1277733685100329,0.2174440125917816,0.0844581225959375,0.3490390200847508,-0.1383531654429832,0.2203667707060808,0.1605772442067905,0.1600951204395977
VTCLX,0.1271359884234009,0.0614870001636738,-0.3673356630678545,0.2507117724296672,0.1416183175638528,0.0024187502414978,0.1452337067464324,0.3036048667507842,0.1357573035534887,0.016995929504302,0.138126304262395,0.2137845530368149,-0.0573427145059642,0.3137508600797347,0.2004455277255725,0.2873166947106358,-0.1949159513319296,0.2716554670917572,0.2460583347251181,0.1855369365184651
DODEX,,,,,,,,,,,,,,,,,-0.1542345595315979,0.1260890310857239,0.085203997903366,0.3943185206484583
VCITX,0.0528439892366099,0.0150312731461754,-0.0717233211596939,0.1300232930153884,0.0137029528463119,0.1150690141903079,0.0913089203779549,-0.0252124546394773,0.1171693159415931,0.0423508823765959,-0.0017473657410632,0.0681961179623069,0.0067405218035172,0.0838880363847027,0.0542678120720208,0.0187144264936249,-0.1006216688227233,0.0722602608444513,0.0210575133716686,0.0339422511764972
VMATX,0.0490284125767381,0.0276792550293432,-0.015306126486923,0.107986867764029,0.0084554317866101,0.1042108954348486,0.0676795922638138,-0.0330229630203638,0.1030132671011891,0.0377171581773696,-0.0038140895806528,0.0603318903283511,0.0047157695282136,0.0857358332258093,0.0637163318703355,0.0205966446077747,-0.1070582674261541,0.068773754546124,0.0193902900767093,0.0361707978167096
FWD,,,,,,,,,,,,,,,,,,,0.3216087009590291,0.3178616905671447
BLPFX,,,,,,,,0.1651727868862538,0.0714790106485447,0.0057065911234379,0.0696403134345937,0.1613547195598259,-0.0514577087955521,0.1957446861092446,0.125226372138804,0.1441640034209181,-0.1353987684691172,0.1387107822842503,0.11846260132221,0.1751885375236606
FBMPX,0.1203173423243189,-0.0992915594202444,-0.3812557833869481,0.4623800037454719,0.2432068134845746,0.0069002547156575,0.3169591751666354,0.4147271177695442,0.0943938741557588,-0.0160932625026292,0.116026977191129,0.1154931932567631,-0.0565589101341482,0.3156197873928894,0.3395901277580901,0.182384143651809,-0.3867542649809933,0.5502824091333813,0.3476314457498697,0.3444829559049216
AUGT,,,,,,,,,,,,,,,,,,,0.2027079185219045,0.152381835863707
VTTHX,0.1357474510350012,0.0731381907700066,-0.3393209961981926,0.2506255078813812,0.131893442972121,-0.0310591172895314,0.133312893814768,0.2035441634579888,0.0813147074827533,-0.0116343953266054,0.0974938870007804,0.1845887797675864,-0.0720005294156574,0.2250612947597283,0.1399035167209219,0.1358746342705976,-0.1678052901622769,0.1697210717767359,0.1252924442873417,0.1821385725314663
SIVR,,,,,0.7519953214502113,-0.0997709933761281,0.0214139754973774,-0.3731635230492471,-0.2175455962249197,-0.1268512136012505,0.149704990424224,0.0363865051849909,-0.1020895545162371,0.148541099632026,0.4633448211221502,-0.1505499087734779,0.0421768860478091,-0.0108601214174035,0.2177562030955662,1.565556459514767
RVPHX,,,-0.4028301331151184,0.3809525754390095,0.1796054587483426,-0.1074917354009418,0.1291631566933915,0.292113863810518,0.0550122596424058,-0.0128884007427801,0.1221122109551255,0.1736888333705109,-0.1123985170984336,0.2375981964887283,0.4907299224348689,0.0797400484933827,-0.3215919898668046,0.1892857666686598,0.2453832056516254,0.2056067806874486
FGMNX,0.0407179984151504,0.066015922574605,0.0675789393993462,0.070557987233768,0.0683392595736571,0.0784299479547052,0.0283124345007432,-0.023939199622481,0.0617638542083913,0.0102287444432775,0.0154396471939248,0.0174836301712608,0.0079922170417416,0.056237978156308,0.0374526913631285,-0.0091854145532723,-0.1095312442095104,0.0512843114880645,0.0162365970855606,0.0768556440541312
XA,,,,,,,,,,,,,,,,,,,,
GWPFX,,,,,,,,0.2721308847483921,0.0665472395870994,0.0164733129071406,0.0908150869760502,0.2425019687253908,-0.0768925675236775,0.2727214570256702,0.2427930683380152,0.1980487299232194,-0.2718440144913748,0.292186190035578,0.2143357229833877,0.2115641589349457
TAAIX,0.1251071411925168,0.0902863827052571,-0.3619936151317949,0.2780791541949639,0.1531846096783322,-0.0548735951384756,0.1122152035913919,0.245632104814361,0.0724543412510809,-0.0023036121879159,0.1188425772988408,0.2022280608375946,-0.068955787362676,0.2473304622669723,0.1566908031204772,0.2086783527188331,-0.1830139577389337,0.1933160713712096,0.1646569530508568,0.163905428154087
APUE,,,,,,,,,,,,,,,,,,,0.2470500198412393,0.1859780105758135
PRIHX,,,,,,,,,,0.0330760389056361,0.0066812388308601,0.0604323618954156,0.0130558574395369,0.0707370214145299,0.0231982405861379,0.0467197554730869,-0.0882544100992612,0.0522759944853996,0.046330705127259,0.0550795947451772
XLII,,,,,,,,,,,,,,,,,,,,
