,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BEGS,,,,,,,,,,,,,,,,,,,,
BELT,,,,,,,,,,,,,,,,,,,,0.1326544105731864
BETE,,,,,,,,,,,,,,,,,,,0.588024016739942,-0.11881089949905765
BETH,,,,,,,,,,,,,,,,,,,0.7500438473031834,-0.14626853150973007
BFAP,,,,,,,,,,,,,,,,,,,,
BFEB,,,,,,,,,,,,,,,,0.18622780009402518,-0.06793272973545927,0.22750583275030323,0.17980111160907453,0.13384087344265594
BFJL,,,,,,,,,,,,,,,,,,,,
BFOR,,,,,,,,0.2027040527888535,0.0742777216037815,-0.0271325210660784,0.2006281793158659,0.1882817598201505,-0.1435649274027954,0.2041412413943144,0.1683575100796805,0.3227410013765173,-0.1573385859050561,0.1946302707997189,0.1822463018635911,0.1475279614428417
BFRZ,,,,,,,,,,,,,,,,,,,,
BGCG,,,,,,,,,,,,,,,,,,,,
BGGG,,,,,,,,,,,,,,,,,,,,
BGLD,,,,,,,,,,,,,,,,,-0.01588577659150381,0.1253344653595112,0.21932833537774332,0.322531457955632
BGRO,,,,,,,,,,,,,,,,,,,,0.13126366600758255
BHYP,,,,,,,,,,,,,,,,,,,,
BIB,,,,,,0.13409452859597937,0.6473427896039021,1.4402466408259125,0.6693270386779888,0.11860435818207038,-0.4014696950208235,0.3543478262927908,-0.2846702014235848,0.4360464835377109,0.4155460676951037,-0.047775660738383796,-0.29875742108440917,0.004221817135604988,-0.13295353336489601,0.5706402921092766
BIBL,,,,,,,,,,,,,-0.07974304733146886,0.3045083504770645,0.21503103606821372,0.29029817987555084,-0.22828651313882742,0.1882325511145262,0.13404227261386703,0.18868997352021744
BIDD,,,,,,,,,,,,,,,,,,,,0.2030677183823475
BIGY,,,,,,,,,,,,,,,,,,,,0.1982353818342686
BINV,,,,,,,,,,,,,,,,,,,0.0843701229325875,0.3890940517223467
BIS,,,,,,-0.3582677704230519,-0.47935633407457445,-0.6668281790783175,-0.5529639698271112,-0.36468243298344094,0.14533577492934402,-0.3439452063579823,0.1087347946209336,-0.40127675757853354,-0.5656101533718172,-0.15849062589899077,-0.009081826844853702,-0.0821816250322942,0.09076524830366828,-0.45467864059748675
BITI,,,,,,,,,,,,,,,,,,-0.6600935646602483,-0.5988209830157191,0.022036752324474662
BITO,,,,,,,,,,,,,,,,,-0.6397237894342351,1.3596310245277157,0.9135961313003058,-0.14358718744199828
BITS,,,,,,,,,,,,,,,,,-0.7552550127037688,2.101581090333464,0.5829986271404457,0.11090364322656066
